task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,3,0.6,0.4,0.010589185170829296,0.09479593485593796
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,4,0.8,0.19999999999999996,0.009657016023993492,0.15723846852779388
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,5,1.0,0.0,0.009630161337554455,0.15954755246639252
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,0,0.0,1.0,0.015101388096809387,0.11641203612089157
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,1,0.2,0.8,0.014653947204351425,0.12741221487522125
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,2,0.4,0.6,0.015839992091059685,0.10029232501983643
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,3,0.6,0.4,0.013557085767388344,0.15897852182388306
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,4,0.8,0.19999999999999996,0.010884479619562626,0.2726227641105652
23,A1K2P5,ES,9,A1K2P5_ES_slice009,24,5,1.0,0.0,0.011851717717945576,0.2242821305990219
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,0,0.0,1.0,0.019749034196138382,0.08742481470108032
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,1,0.2,0.8,0.01617463491857052,0.1270533800125122
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,2,0.4,0.6,0.013909349218010902,0.1610189527273178
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,3,0.6,0.4,0.011462757363915443,0.2079710215330124
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,4,0.8,0.19999999999999996,0.012903183698654175,0.1788865476846695
23,A1K2P5,ES,10,A1K2P5_ES_slice010,25,5,1.0,0.0,0.010187426581978798,0.23764526844024658
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,0,0.0,1.0,2.2430807803175412e-05,0.2608821392059326
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,1,0.2,0.8,0.12351851165294647,0.11348477005958557
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,2,0.4,0.6,0.05691717192530632,0.17778612673282623
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,3,0.6,0.4,0.14838387072086334,0.0959731861948967
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,4,0.8,0.19999999999999996,0.09082289785146713,0.1414642035961151
23,A1K2P5,ES,11,A1K2P5_ES_slice011,26,5,1.0,0.0,0.031922005116939545,0.21040959656238556
23,A1K2P5,ES,12,A1K2P5_ES_slice012,27,0,0.0,1.0,1.178145281448305e-18,0.18637725710868835
23,A1K2P5,ES,12,A1K2P5_ES_slice012,27,1,0.2,0.8,9.609308372372382e-18,0.18637725710868835
23,A1K2P5,ES,12,A1K2P5_ES_slice012,27,2,0.4,0.6,3.0829508473796013e-16,0.1863771229982376
23,A1K2P5,ES,12,A1K2P5_ES_slice012,27,3,0.6,0.4,7.653383982608123e-15,0.18637371063232422
